Title,Abstract,Processed_Abstract
"Web Table Extraction, Retrieval and Augmentation","This tutorial synthesizes and presents research on web tables over the past two decades. We group the tasks into six main categories of information access tasks: (i) table extraction, (ii) table interpretation, (iii) table search, (iv) question answering on tables, (v) knowledge base augmentation, and (vi) table completion. For each category, we identify and introduce seminal approaches, present relevant resources, and point out interdependencies among the different tasks.",tutori synthes present research web tabl past two decad group task six main categori inform access task tabl extract ii tabl interpret iii tabl search iv question answer tabl v knowledg base augment vi tabl complet categori identifi introduc semin approach present relev resourc point interdepend among differ task
Active Hidden Markov Models for Information Extraction,nan,nan
Visual Web Information Extraction with Lixto,"We present new techniques for supervised wrapper generation and automated web information extraction, and a system called Lixto implementing these techniques. Our system can generate wrappers which translate relevant pieces of HTML pages into XML. Lixto, of which a working prototype has been implemented, assists the user to semi-automatically create wrapper programs by providing a fully visual and interactive user interface. In this convenient user-interface very expressive extraction programs can be created. Internally, this functionality is reected by the new logicbased declarative language Elog. Users never have to deal with Elog and even familiarity with HTML is not required. Lixto can be used to create an \XML-Companion"" for an HTML web page with changing content, containing the continually updated XML translation of the relevant information.",present new techniqu supervis wrapper gener autom web inform extract system call lixto implement techniqu system gener wrapper translat relev piec html page xml lixto work prototyp implement assist user semiautomat creat wrapper program provid fulli visual interact user interfac conveni userinterfac express extract program creat intern function reect new logicbas declar languag elog user never deal elog even familiar html requir lixto use creat xmlcompanion html web page chang content contain continu updat xml translat relev inform
Web Information Extraction by HTML Tree Edit Distance Matching,"The main issue for effective Web information extraction is how to recognize similar patterns in a Web page. Traditionally, it has been shown that pattern matching by using the HTML DOM tree is more efficient than the simple string matching approach. Nonetheless, previous tree-based pattern matching methods have problems by assuming that all HTML tags have the same values, assigning the same weight to each node in HTML trees. This paper proposes an enhanced tree matching algorithm that improves the tree edit distance method by considering the characteristics of HTML features. We assign different values to different HTML tree nodes according to their weights for displaying the corresponding data objects in the browser. Pattern matching of HTML patterns is done by obtaining the maximum mapping values of two HTML trees that are constructed with weighted node values from HTML data objects. Experiments are done over several Web commerce sites to evaluate the effectiveness of the proposed HTML tree matching algorithm.",main issu effect web inform extract recogn similar pattern web page tradit shown pattern match use html dom tree effici simpl string match approach nonetheless previou treebas pattern match method problem assum html tag valu assign weight node html tree paper propos enhanc tree match algorithm improv tree edit distanc method consid characterist html featur assign differ valu differ html tree node accord weight display correspond data object browser pattern match html pattern done obtain maximum map valu two html tree construct weight node valu html data object experi done sever web commerc site evalu effect propos html tree match algorithm
Ontology-Based Information Extraction for Business Intelligence,nan,nan
Multimedia Information Extraction,"Abstract : This paper describes the need for information extraction technologies within the military, some of the current technologies available, and the problems associated with them. It also looks at some of the ongoing research projects in areas of multimedia information extraction. Finally, it looks at the StreamSage audio extraction software and the demonstration of this software, explains how to run the software and the demo, and evaluates them.",abstract paper describ need inform extract technolog within militari current technolog avail problem associ also look ongo research project area multimedia inform extract final look streamsag audio extract softwar demonstr softwar explain run softwar demo evalu
A Multi-resolution Framework for Information Extraction from Free Text,"Extraction of relations between entities is an important part of Information Extraction on free text. Previous methods are mostly based on statistical correlation and dependency relations between entities. This paper re-examines the problem at the multiresolution layers of phrase, clause and sentence using dependency and discourse relations. Our multi-resolution framework ARE (Anchor and Relation) uses clausal relations in 2 ways: 1) to filter noisy dependency paths; and 2) to increase reliability of dependency path extraction. The resulting system outperforms the previous approaches by 3%, 7%, 4% on MUC4, MUC6 and ACE RDC domains respectively.",extract relat entiti import part inform extract free text previou method mostli base statist correl depend relat entiti paper reexamin problem multiresolut layer phrase claus sentenc use depend discours relat multiresolut framework anchor relat use clausal relat way filter noisi depend path increas reliabl depend path extract result system outperform previou approach muc muc ace rdc domain respect
Sparse Information Extraction: Unsupervised Language Models to the Rescue,"Even in a massive corpus such as the Web, a substantial fraction of extractions appear infrequently. This paper shows how to assess the correctness of sparse extractions by utilizing unsupervised language models. The REALM system, which combines HMMbased and n-gram-based language models, ranks candidate extractions by the likelihood that they are correct. Our experiments show that REALM reduces extraction error by 39%, on average, when compared with previous work. Because REALM pre-computes language models based on its corpus and does not require any hand-tagged seeds, it is far more scalable than approaches that learn models for each individual relation from handtagged data. Thus, REALM is ideally suited for open information extraction where the relations of interest are not specified in advance and their number is potentially vast.",even massiv corpu web substanti fraction extract appear infrequ paper show assess correct spar extract util unsupervis languag model realm system combin hmmbase ngrambas languag model rank candid extract likelihood correct experi show realm reduc extract error averag compar previou work realm precomput languag model base corpu requir handtag seed far scalabl approach learn model individu relat handtag data thu realm ideal suit open inform extract relat interest specifi advanc number potenti vast
Effective Information Extraction with Semantic Affinity Patterns and Relevant Regions,"We present an information extraction system that decouples the tasks of finding relevant regions of text and applying extraction patterns. We create a self-trained relevant sentence classifier to identify relevant regions, and use a semantic affinity measure to automatically learn domain-relevant extraction patterns. We then distinguish primary patterns from secondary patterns and apply the patterns selectively in the relevant regions. The resulting IE system achieves good performance on the MUC-4 terrorism corpus and ProMed disease outbreak stories. This approach requires only a few seed extraction patterns and a collection of relevant and irrelevant documents for training.",present inform extract system decoupl task find relev region text appli extract pattern creat selftrain relev sentenc classifi identifi relev region use semant affin measur automat learn domainrelev extract pattern distinguish primari pattern secondari pattern appli pattern select relev region result ie system achiev good perform muc terror corpu prome diseas outbreak stori approach requir seed extract pattern collect relev irrelev document train
ontoX - A Method for Ontology-Driven Information Extraction,nan,nan
"Hierarchical, perceptron-like learning for ontology-based information extraction","Recent work on ontology-based Information Extraction (IE) has tried to make use of knowledge from the target ontology in order to improve semantic annotation results. However, very few approaches exploit the ontology structure itself, and those that do so, have some limitations. This paper introduces a hierarchical learning approach for IE, which uses the target ontology as an essential part of the extraction process, by taking into account the relations between concepts. The approach is evaluated on the largest available semantically annotated corpus. The results demonstrate clearly the benefits of using knowledge from the ontology as input to the information extraction process. We also demonstrate the advantages of our approach over other state-of-the-art learning systems on a commonly used benchmark dataset.",recent work ontologybas inform extract ie tri make use knowledg target ontolog order improv semant annot result howev approach exploit ontolog structur limit paper introduc hierarch learn approach ie use target ontolog essenti part extract process take account relat concept approach evalu largest avail semant annot corpu result demonstr clearli benefit use knowledg ontolog input inform extract process also demonstr advantag approach stateoftheart learn system commonli use benchmark dataset
Automatic Information Extraction,nan,nan
Ontology-based information extraction and integration from heterogeneous data sources,nan,nan
Information Extraction,nan,nan
Toward information extraction: identifying protein names from biological papers.,"To solve the mystery of the life phenomenon, we must clarify when genes are expressed and how their products interact with each other. But since the amount of continuously updated knowledge on these interactions is massive and is only available in the form of published articles, an intelligent information extraction (IE) system is needed. To extract these information directly from articles, the system must firstly identify the material names. However, medical and biological documents often include proper nouns newly made by the authors, and conventional methods based on domain specific dictionaries cannot detect such unknown words or coinages. In this study, we propose a new method of extracting material names, PROPER, using surface clue on character strings. It extracts material names in the sentence with 94.70% precision and 98.84% recall, regardless of whether it is already known or newly defined.",solv mysteri life phenomenon must clarifi gene express product interact sinc amount continu updat knowledg interact massiv avail form publish articl intellig inform extract ie system need extract inform directli articl system must firstli identifi materi name howev medic biolog document often includ proper noun newli made author convent method base domain specif dictionari detect unknown word coinag studi propos new method extract materi name proper use surfac clue charact string extract materi name sentenc precis recal regardless whether alreadi known newli defin
IEPAD: information extraction based on pattern discovery,"research in information extraction (IE) regards the generation of wrappers that can extract particular information from semi- structured Web documents. Similar to compiler generation, the extractor is actually a driver program, which is accompanied with the generated extraction rule. Previous work in this field aims to learn extraction rules from users' training example. In this paper, we propose IEPAD, a system that automatically discovers extraction rules from Web pages. The system can automatically identify record boundary by repeated pattern mining and multiple sequence alignment. The discovery of repeated patterns are realized through a data structure call PAT trees. Additionally, repeated patterns are further extended by pattern alignment to comprehend all record instances. This new track to IE involves no human effort and content-dependent heuristics. Experimental results show that the constructed extraction rules can achieve 97 percent extraction over fourteen popular search engines.",research inform extract ie regard gener wrapper extract particular inform semi structur web document similar compil gener extractor actual driver program accompani gener extract rule previou work field aim learn extract rule user train exampl paper propos iepad system automat discov extract rule web page system automat identifi record boundari repeat pattern mine multipl sequenc align discoveri repeat pattern realiz data structur call pat tree addit repeat pattern extend pattern align comprehend record instanc new track ie involv human effort contentdepend heurist experiment result show construct extract rule achiev percent extract fourteen popular search engin
"Combining Lexical, Syntactic, and Semantic Features with Maximum Entropy Models for Information Extraction","Extracting semantic relationships between entities is challenging because of a paucity of annotated data and the errors induced by entity detection modules. We employ Maximum Entropy models to combine diverse lexical, syntactic and semantic features derived from the text. Our system obtained competitive results in the Automatic Content Extraction (ACE) evaluation. Here we present our general approach and describe our ACE results.",extract semant relationship entiti challeng pauciti annot data error induc entiti detect modul employ maximum entropi model combin diver lexic syntact semant featur deriv text system obtain competit result automat content extract ace evalu present gener approach describ ace result
Robust Information Extraction with Perceptrons,"We present a system for the extraction of entity and relation mentions. Our work focused on robustness and simplicity: all system components are modeled using variants of the Perceptron algorithm (Rosemblatt, 1858) and only partial syntactic information is used for feature extraction. Our approach has two novel ideas. First, we define a new large-margin Perceptron algorithm tailored for classunbalanced data which dynamically adjusts its margins, according to the generalization performance of the model. Second, we propose a novel architecture that lets classification ambiguities flow through the system and solves them only at the end. The system achieves competitive accuracy on the ACE English EMD and RMD tasks.",present system extract entiti relat mention work focus robust simplic system compon model use variant perceptron algorithm rosemblatt partial syntact inform use featur extract approach two novel idea first defin new largemargin perceptron algorithm tailor classunbalanc data dynam adjust margin accord gener perform model second propos novel architectur let classif ambigu flow system solv end system achiev competit accuraci ace english emd rmd task
Ontology-based design information extraction and retrieval,"Because of the increasing complexity of products and the design process, as well as the popularity of computer-aided documentation tools, the number of electronic and textual design documents being generated has exploded. The availability of such extensive document resources has created new challenges and opportunities for research. These include improving design information retrieval to achieve a more coherent environment for design exploration, learning, and reuse. One critical issue is related to the construction of a structured representation for indexing design documents that record engineers' ideas and reasoning processes for a specific design. This representation should explicitly and accurately capture the important design concepts as well as the relationships between these concepts so that engineers can locate their documents of interest with less effort. For design information retrieval, we propose to use shallow natural language processing and domain-specific design ontology to automatically construct a structured and semantics-based representation from unstructured design documents. The design concepts and relationships of the representation are recognized from the document based on the identified linguistic patterns. The recognized concepts and relationships are joined to form a concept graph. The integration of these concept graphs builds an application-specific design ontology, which can be seen as the structured representation of the content of the corporate document repository, as well as an automatically populated knowledge base from previous designs. To improve the performance of design information retrieval, we have developed ontology-based query processing, where users' requests are interpreted based on their domain-specific meanings. Our approach contrasts with the traditionally used keyword-based search. An experiment to test the retrieval performance is conducted by using the design documents from a product design scenario. The results demonstrate that our method outperforms the keyword-based search techniques. This research contributes to the development and use of engineering ontology for design information retrieval.",increas complex product design process well popular computeraid document tool number electron textual design document gener explod avail extens document resourc creat new challeng opportun research includ improv design inform retriev achiev coher environ design explor learn reus one critic issu relat construct structur represent index design document record engin idea reason process specif design represent explicitli accur captur import design concept well relationship concept engin locat document interest less effort design inform retriev propos use shallow natur languag process domainspecif design ontolog automat construct structur semanticsbas represent unstructur design document design concept relationship represent recogn document base identifi linguist pattern recogn concept relationship join form concept graph integr concept graph build applicationspecif design ontolog seen structur represent content corpor document repositori well automat popul knowledg base previou design improv perform design inform retriev develop ontologybas queri process user request interpret base domainspecif mean approach contrast tradit use keywordbas search experi test retriev perform conduct use design document product design scenario result demonstr method outperform keywordbas search techniqu research contribut develop use engin ontolog design inform retriev
Robust Extraction of Tomographic Information via Randomized Benchmarking,"Quantum processing tomography typically reconstructs an unknown quantum dynamical operation by measuring its effects on known states of a quantum device. Taking a different approach of comparing the operation of interest to a set of finite and easily implementable reference operations, a new method can reconstruct any quantum operation reliably.",quantum process tomographi typic reconstruct unknown quantum dynam oper measur effect known state quantum devic take differ approach compar oper interest set finit easili implement refer oper new method reconstruct quantum oper reliabl
Learning Hidden Markov Model Structure for Information Extraction,"Statistical machine learning techniques, while well proven in fields such as speech recognition, are just beginning to be applied to the information extraction domain. We explore the use of hidden Markov models for information extraction tasks, specifically focusing on how to learn model structure from data and how to make the best use of labeled and unlabeled data. We show that a manually-constructed model that contains multiple states per extraction field outperforms a model with one state per field, and discuss strategies for learning the model structure automatically from data. We also demonstrate that the use of distantly-labeled data to set model parameters provides a significant improvement in extraction accuracy. Our models are applied to the task of extracting important fields from the headers of computer science research papers, and achieve an extraction accuracy of 92.9%.",statist machin learn techniqu well proven field speech recognit begin appli inform extract domain explor use hidden markov model inform extract task specif focus learn model structur data make best use label unlabel data show manuallyconstruct model contain multipl state per extract field outperform model one state per field discus strategi learn model structur automat data also demonstr use distantlylabel data set model paramet provid signific improv extract accuraci model appli task extract import field header comput scienc research paper achiev extract accuraci
Hybrid Compression of Hyperspectral Images Based on PCA With Pre-Encoding Discriminant Information,"It has been shown that image compression based on principal component analysis (PCA) provides good compression efficiency for hyperspectral images. However, PCA might fail to capture all the discriminant information of hyperspectral images, since features that are important for classification tasks may not be high in signal energy. To deal with this problem, we propose a hybrid compression method for hyperspectral images with pre-encoding discriminant information. A feature extraction method is first applied to the original images, producing a set of feature vectors that are used to generate feature images and then residual images by subtracting the feature-reconstructed images from the original ones. Both feature images and residual images are compressed and transmitted. Experiments on data from the Airborne Visible/Infrared Imaging Spectrometer sensor indicate that the proposed method provides better compression efficiency with improved classification accuracy than conventional compression methods.",shown imag compress base princip compon analysi pca provid good compress effici hyperspectr imag howev pca might fail captur discrimin inform hyperspectr imag sinc featur import classif task may high signal energi deal problem propos hybrid compress method hyperspectr imag preencod discrimin inform featur extract method first appli origin imag produc set featur vector use gener featur imag residu imag subtract featurereconstruct imag origin one featur imag residu imag compress transmit experi data airborn visibleinfrar imag spectromet sensor indic propos method provid better compress effici improv classif accuraci convent compress method
A Survey of Deep Learning Methods for Relation Extraction,"Relation Extraction is an important sub-task of Information Extraction which has the potential of employing deep learning (DL) models with the creation of large datasets using distant supervision. In this review, we compare the contributions and pitfalls of the various DL models that have been used for the task, to help guide the path ahead.",relat extract import subtask inform extract potenti employ deep learn dl model creation larg dataset use distant supervis review compar contribut pitfal variou dl model use task help guid path ahead
Preemptive Information Extraction using Unrestricted Relation Discovery,We are trying to extend the boundary of Information Extraction (IE) systems. Existing IE systems require a lot of time and human effort to tune for a new scenario. Preemptive Information Extraction is an attempt to automatically create all feasible IE systems in advance without human intervention. We propose a technique called Unrestricted Relation Discovery that discovers all possible relations from texts and presents them as tables. We present a preliminary system that obtains reasonably good results.,tri extend boundari inform extract ie system exist ie system requir lot time human effort tune new scenario preemptiv inform extract attempt automat creat feasibl ie system advanc without human intervent propos techniqu call unrestrict relat discoveri discov possibl relat text present tabl present preliminari system obtain reason good result
Broad-Coverage Sense Disambiguation and Information Extraction with a Supersense Sequence Tagger,"In this paper we approach word sense disambiguation and information extraction as a unified tagging problem. The task consists of annotating text with the tagset defined by the 41 Wordnet supersense classes for nouns and verbs. Since the tagset is directly related to Wordnet synsets, the tagger returns partial word sense disambiguation. Furthermore, since the noun tags include the standard named entity detection classes -- person, location, organization, time, etc. -- the tagger, as a by-product, returns extended named entity information. We cast the problem of supersense tagging as a sequential labeling task and investigate it empirically with a discriminatively-trained Hidden Markov Model. Experimental evaluation on the main sense-annotated datasets available, i.e., Semcor and Senseval, shows considerable improvements over the best known ""first-sense"" baseline.",paper approach word sen disambigu inform extract unifi tag problem task consist annot text tagset defin wordnet supersens class noun verb sinc tagset directli relat wordnet synset tagger return partial word sen disambigu furthermor sinc noun tag includ standard name entiti detect class person locat organ time etc tagger byproduct return extend name entiti inform cast problem supersens tag sequenti label task investig empir discriminativelytrain hidden markov model experiment evalu main senseannot dataset avail ie semcor sensev show consider improv best known firstsens baselin
Adaptive information extraction,"The growing availability of online textual sources and the potential number of applications of knowledge acquisition from textual data has lead to an increase in Information Extraction (IE) research. Some examples of these applications are the generation of data bases from documents, as well as the acquisition of knowledge useful for emerging technologies like question answering, information integration, and others related to text mining. However, one of the main drawbacks of the application of IE refers to its intrinsic domain dependence. For the sake of reducing the high cost of manually adapting IE applications to new domains, experiments with different Machine Learning (ML) techniques have been carried out by the research community. This survey describes and compares the main approaches to IE and the different ML techniques used to achieve Adaptive IE technology.",grow avail onlin textual sourc potenti number applic knowledg acquisit textual data lead increas inform extract ie research exampl applic gener data base document well acquisit knowledg use emerg technolog like question answer inform integr other relat text mine howev one main drawback applic ie refer intrins domain depend sake reduc high cost manual adapt ie applic new domain experi differ machin learn ml techniqu carri research commun survey describ compar main approach ie differ ml techniqu use achiev adapt ie technolog
Mining knowledge from text using information extraction,"An important approach to text mining involves the use of natural-language information extraction. Information extraction (IE) distills structured data or knowledge from unstructured text by identifying references to named entities as well as stated relationships between such entities. IE systems can be used to directly extricate abstract knowledge from a text corpus, or to extract concrete data from a set of documents which can then be further analyzed with traditional data-mining techniques to discover more general patterns. We discuss methods and implemented systems for both of these approaches and summarize results on mining real text corpora of biomedical abstracts, job announcements, and product descriptions. We also discuss challenges that arise when employing current information extraction technology to discover knowledge in text.",import approach text mine involv use naturallanguag inform extract inform extract ie distil structur data knowledg unstructur text identifi refer name entiti well state relationship entiti ie system use directli extric abstract knowledg text corpu extract concret data set document analyz tradit datamin techniqu discov gener pattern discus method implement system approach summar result mine real text corpus biomed abstract job announc product descript also discus challeng aris employ current inform extract technolog discov knowledg text
Information Extraction: Techniques and Challenges,nan,nan
Active Learning for Natural Language Parsing and Information Extraction,"In natural language acquisition, it is dicult to gather the annotated data needed for supervised learning; however, unannotated data is fairly plentiful. Active learning methods attempt to select for annotation and training only the most informative examples, and therefore are potentially very useful in natural language applications. However, existing results for active learning have only considered standard classication tasks. To reduce annotation eort while maintaining accuracy, we apply active learning to two non-classication tasks in natural language processing: semantic parsing and information extraction. We show that active learning can signicantly reduce the number of annotated examples required to achieve a given level of performance for these complex tasks.",natur languag acquisit dicult gather annot data need supervis learn howev unannot data fairli plenti activ learn method attempt select annot train inform exampl therefor potenti use natur languag applic howev exist result activ learn consid standard classic task reduc annot eort maintain accuraci appli activ learn two nonclass task natur languag process semant par inform extract show activ learn signicantli reduc number annot exampl requir achiev given level perform complex task
Machine Learning for Information Extraction in Informal Domains,nan,nan
KIM – a semantic platform for information extraction and retrieval,"The KIM platform provides a novel Knowledge and Information Management framework and services for automatic semantic annotation, indexing, and retrieval of documents. It provides a mature and semantically enabled infrastructure for scalable and customizable information extraction (IE) as well as annotation and document management, based on GATE.General Architecture for Text Engineering (GATE) (http://gate.ac.uk), leading NLP and IE platform developed at the University of Sheffield. Our understanding is that a system for semantic annotation should be based upon a simple model of real-world entity concepts, complemented with quasi-exhaustive instance knowledge. To ensure efficiency, easy sharing, and reusability of the metadata we introduce an upper-level ontology. Based on the ontology, a large-scale instance base of entity descriptions is maintained. The knowledge resources involved are handled by use of state-of-the-art Semantic Web technology and standards, including RDF(S) repositories, ontology middleware and reasoning. From a technical point of view, the platform allows KIM-based applications to use it for automatic semantic annotation, for content retrieval based on semantic queries, and for semantic repository access. As a framework, KIM also allows various IE modules, semantic repositories and information retrieval engines to be plugged into it. This paper presents the KIM platform, with an emphasis on its architecture, interfaces, front-ends, and other technical issues.",kim platform provid novel knowledg inform manag framework servic automat semant annot index retriev document provid matur semant enabl infrastructur scalabl customiz inform extract ie well annot document manag base gategener architectur text engin gate httpgateacuk lead nlp ie platform develop univers sheffield understand system semant annot base upon simpl model realworld entiti concept complement quasiexhaust instanc knowledg ensur effici easi share reusabl metadata introduc upperlevel ontolog base ontolog largescal instanc base entiti descript maintain knowledg resourc involv handl use stateoftheart semant web technolog standard includ rdf repositori ontolog middlewar reason technic point view platform allow kimbas applic use automat semant annot content retriev base semant queri semant repositori access framework kim also allow variou ie modul semant repositori inform retriev engin plug paper present kim platform emphasi architectur interfac frontend technic issu
A review of polarimetry in the context of synthetic aperture radar: concepts and information extraction,"This study provides an update of the polarimetric tools currently being used for optimum information extraction from polarimetric synthetic aperture radar (SAR) images. The basics of polarimetric theory are summarized and discussed in the context of SAR. Calibration of polarimetric SAR, which is an important issue for the extraction of meaningful polarization information, is reviewed. Information extraction using the scattered and received wave parameters and target decomposition theory is considered. In particular, the use of coherent versus incoherent target decomposition is discussed and the practical limitations of these target decompositions are outlined. Speckle filtering and classification of polarimetric SAR images are also thoroughly analyzed, and the important directions for future research are outlined.",studi provid updat polarimetr tool current use optimum inform extract polarimetr synthet apertur radar sar imag basic polarimetr theori summar discus context sar calibr polarimetr sar import issu extract meaning polar inform review inform extract use scatter receiv wave paramet target decomposit theori consid particular use coher versu incoher target decomposit discus practic limit target decomposit outlin speckl filter classif polarimetr sar imag also thoroughli analyz import direct futur research outlin
Exploiting Subjectivity Classification to Improve Information Extraction,"Information extraction (IE) systems are prone to false hits for a variety of reasons and we observed that many of these false hi ts occur in sentences that contain subjective language (e.g., opinions, emotions, and sentiments). Motivated by these observations, we explore the idea of using subjectivity analysis to improve the precision of information extraction systems. In this paper, we describe an IE system that uses a subjective sentence classifier to filter its extractions. We experimented with several different strategies for using the subjectivity classifications, including an aggressive strategy that discards all extractions found in subjective sentences and more complex strategies that selectively discard extractions. We evaluated the performance of these different approaches on the MUC-4 terrorism data set. We found that indiscriminately filtering extractions from subjective sentences was overly aggressive, but more selective filtering strategies improved IE precision with minimal recall loss.",inform extract ie system prone fals hit varieti reason observ mani fals hi t occur sentenc contain subject languag eg opinion emot sentiment motiv observ explor idea use subject analysi improv precis inform extract system paper describ ie system use subject sentenc classifi filter extract experi sever differ strategi use subject classif includ aggress strategi discard extract found subject sentenc complex strategi select discard extract evalu perform differ approach muc terror data set found indiscrimin filter extract subject sentenc overli aggress select filter strategi improv ie precis minim recal loss
A Probabilistic Model of Redundancy in Information Extraction,"Unsupervised Information Extraction (UIE) is the task of extracting knowledge from text without using hand-tagged training examples. A fundamental problem for both UIE and supervised IE is assessing the probability that extracted information is correct. In massive corpora such as the Web, the same extraction is found repeatedly in different documents. How does this redundancy impact the probability of correctness? 
 
This paper introduces a combinatorial ""balls-andurns"" model that computes the impact of sample size, redundancy, and corroboration from multiple distinct extraction rules on the probability that an extraction is correct. We describe methods for estimating the model's parameters in practice and demonstrate experimentally that for UIE the model's log likelihoods are 15 times better, on average, than those obtained by Pointwise Mutual Information (PMI) and the noisy-or model used in previous work. For supervised IE, the model's performance is comparable to that of Support Vector Machines, and Logistic Regression.",unsupervis inform extract uie task extract knowledg text without use handtag train exampl fundament problem uie supervis ie assess probabl extract inform correct massiv corpus web extract found repeatedli differ document redund impact probabl correct paper introduc combinatori ballsandurn model comput impact sampl size redund corrobor multipl distinct extract rule probabl extract correct describ method estim model paramet practic demonstr experiment uie model log likelihood time better averag obtain pointwis mutual inform pmi noisyor model use previou work supervis ie model perform compar support vector machin logist regress
Adaptive Information Extraction from Text by Rule Induction and Generalisation,"(LP)2 is a covering algorithm for adaptive Information Extraction from text (IE). It induces symbolic rules that insert SGML tags into texts by learning from examples found in a user-defined tagged corpus. Training is performed in two steps: initially a set of tagging rules is learned; then additional rules are induced to correct mistakes and imprecision in tagging. Induction is performed by bottom-up generalization of examples in the training corpus. Shallow knowledge about Natural Language Processing (NLP) is used in the generalization process. The algorithm has a considerable success story. From a scientific point of view, experiments report excellent results with respect to the current state of the art on two publicly available corpora. From an application point of view, a successful industrial IE tool has been based on (LP)2. Real world applications have been developed and licenses have been released to external companies for building other applications. This paper presents (LP)2, experimental results and applications, and discusses the role of shallow NLP in rule induction.",lp cover algorithm adapt inform extract text ie induc symbol rule insert sgml tag text learn exampl found userdefin tag corpu train perform two step initi set tag rule learn addit rule induc correct mistak imprecis tag induct perform bottomup gener exampl train corpu shallow knowledg natur languag process nlp use gener process algorithm consider success stori scientif point view experi report excel result respect current state art two publicli avail corpus applic point view success industri ie tool base lp real world applic develop licens releas extern compani build applic paper present lp experiment result applic discus role shallow nlp rule induct
Information Extraction with HMM Structures Learned by Stochastic Optimization,"Recent research has demonstrated the strong performance of hidden Markov models applied to information extraction—the task of populating database slots with corresponding phrases from text documents. A remaining problem, however, is the selection of state-transition structure for the model. This paper demonstrates that extraction accuracy strongly depends on the selection of structure, and presents an algorithm for automatically finding good structures by stochastic optimization. Our algorithm begins with a simple model and then performs hill-climbing in the space of possible structures by splitting states and gauging performance on a validation set. Experimental results show that this technique finds HMM models that almost always out-perform a fixed model, and have superior average performance across tasks.",recent research demonstr strong perform hidden markov model appli inform extractionth task popul databas slot correspond phrase text document remain problem howev select statetransit structur model paper demonstr extract accuraci strongli depend select structur present algorithm automat find good structur stochast optim algorithm begin simpl model perform hillclimb space possibl structur split state gaug perform valid set experiment result show techniqu find hmm model almost alway outperform fix model superior averag perform across task
FASTUS: A Finite-state Processor for Information Extraction from Real-world Text,"Approaches to text processing that rely on parsing the text with a context-free grammar tend to be slow and error-prone because of the massive ambiguity of long sentences. In contrast, FASTUS employs a nondeterministic finite-state language model that produces a phrasal decomposition of a sentence into noun groups, verb groups and particles. Another finite-state machine recognizes domain-specific phrases based on combinations of the heads of the constituents found in the first pass. FASTUS has been evaluated on several blind tests that demonstrate that state-of-the-art performance on information-extraction tasks is obtainable with surprisingly little computational effort.",approach text process reli par text contextfre grammar tend slow errorpron massiv ambigu long sentenc contrast fastu employ nondeterminist finitest languag model produc phrasal decomposit sentenc noun group verb group particl anoth finitest machin recogn domainspecif phrase base combin head constitu found first pas fastu evalu sever blind test demonstr stateoftheart perform informationextract task obtain surprisingli littl comput effort
Integrated Annotation for Biomedical Information Extraction,"We describe an approach to two areas of biomedical information extraction, drug development and cancer genomics. We have developed a framework which includes corpus annotation integrated at multiple levels: a Treebank containing syntactic structure, a Propbank containing predicate-argument structure, and annotation of entities and relations among the entities. Crucial to this approach is the proper characterization of entities as relation components, which allows the integration of the entity annotation with the syntactic structure while retaining the capacity to annotate and extract more complex events. We are training statistical taggers using this annotation for such extraction as well as using them for improving the annotation process.",describ approach two area biomed inform extract drug develop cancer genom develop framework includ corpu annot integr multipl level treebank contain syntact structur propbank contain predicateargu structur annot entiti relat among entiti crucial approach proper character entiti relat compon allow integr entiti annot syntact structur retain capac annot extract complex event train statist tagger use annot extract well use improv annot process
Information Extraction with HMMs and Shrinkage,"Hidden Markov models (HMMs) are a powerful probabilistic tool for modeling time series data, and have been applied with success to many language-related tasks such as part of speech tagging, speech recognition, text segmentation and topic detection. This paper describes the application of HMMs to another language related task--information extraction--the problem of locating textual sub-segments that answer a particular information need. In our work, the HMM state transition probabilities and word emission probabilities are learned from labeled training data. As in many machine learning problems, however, the lack of sufficient labeled training data hinders the reliability of the model. The key contribution of this paper is the use of a statistical technique called ""shrinkage"" that significantly improves parameter estimation of the HMM emission probabilities in the face of sparse training data. In experiments on seminar announcements and Reuters acquisitions articles, shrinkage is shown to reduce error by up to 40%, and the resulting HMM outperforms a state-of-the-art rule-learning system.",hidden markov model hmm power probabilist tool model time seri data appli success mani languagerel task part speech tag speech recognit text segment topic detect paper describ applic hmm anoth languag relat taskinform extractionth problem locat textual subseg answer particular inform need work hmm state transit probabl word emiss probabl learn label train data mani machin learn problem howev lack suffici label train data hinder reliabl model key contribut paper use statist techniqu call shrinkag significantli improv paramet estim hmm emiss probabl face spar train data experi seminar announc reuter acquisit articl shrinkag shown reduc error result hmm outperform stateoftheart rulelearn system
